S_STAFFUP S_STAFFDOWN S_STAFFREADY S_STAFFATK1_1 S_STAFFATK1_1 S_NULL S_STAFFUP2 S_STAFFDOWN2 S_STAFFREADY2_1 S_STAFFATK2_1 S_STAFFATK2_1 S_NULL 
S_GOLDWANDUP S_GOLDWANDDOWN S_GOLDWANDREADY S_GOLDWANDATK1_1 S_GOLDWANDATK1_1 S_NULL S_GOLDWANDUP S_GOLDWANDDOWN S_GOLDWANDREADY S_GOLDWANDATK2_1 S_GOLDWANDATK2_1 S_NULL 
S_CRBOWUP S_CRBOWDOWN S_CRBOW1 S_CRBOWATK1_1 S_CRBOWATK1_1 S_NULL S_CRBOWUP S_CRBOWDOWN S_CRBOW1 S_CRBOWATK2_1 S_CRBOWATK2_1 S_NULL 
S_BLASTERUP S_BLASTERDOWN S_BLASTERREADY S_BLASTERATK1_1 S_BLASTERATK1_3 S_NULL S_BLASTERUP S_BLASTERDOWN S_BLASTERREADY S_BLASTERATK2_1 S_BLASTERATK2_3 S_NULL 
S_HORNRODUP S_HORNRODDOWN S_HORNRODREADY S_HORNRODATK1_1 S_HORNRODATK1_1 S_NULL S_HORNRODUP S_HORNRODDOWN S_HORNRODREADY S_HORNRODATK2_1 S_HORNRODATK2_1 S_NULL 
S_PHOENIXUP S_PHOENIXDOWN S_PHOENIXREADY S_PHOENIXATK1_1 S_PHOENIXATK1_1 S_NULL S_PHOENIXUP S_PHOENIXDOWN S_PHOENIXREADY S_PHOENIXATK2_1 S_PHOENIXATK2_2 S_NULL 
S_MACEUP S_MACEDOWN S_MACEREADY S_MACEATK1_1 S_MACEATK1_2 S_NULL S_MACEUP S_MACEDOWN S_MACEREADY S_MACEATK2_1 S_MACEATK2_1 S_NULL 
S_GAUNTLETUP S_GAUNTLETDOWN S_GAUNTLETREADY S_GAUNTLETATK1_1 S_GAUNTLETATK1_3 S_NULL S_GAUNTLETUP2 S_GAUNTLETDOWN2 S_GAUNTLETREADY2_1 S_GAUNTLETATK2_1 S_GAUNTLETATK2_3 S_NULL 
S_BEAKUP S_BEAKDOWN S_BEAKREADY S_BEAKATK1_1 S_BEAKATK1_1 S_NULL S_BEAKUP S_BEAKDOWN S_BEAKREADY S_BEAKATK2_1 S_BEAKATK2_1 S_NULL 

